accuracy,precision,recall,f1,specificity,auc,per_class_auc,fold
0.8823529411764706,0.8952380952380953,0.8785714285714284,0.8806019377447949,0.980295566502463,0.9771346469622332,"[0.9793103448275862, 0.9724137931034483, 1.0, 1.0, 0.9862068965517242, 0.9103448275862069, 0.9916666666666667]",0
0.8235294117647058,0.888888888888889,0.8214285714285713,0.8323541537827251,0.9704433497536946,0.969047619047619,"[1.0, 0.9833333333333334, 0.9103448275862069, 0.9517241379310344, 1.0, 0.9862068965517242, 0.9517241379310345]",1
0.6176470588235294,0.6642857142857143,0.6142857142857144,0.5861059575345289,0.9361247947454846,0.8894909688013136,"[0.9448275862068966, 0.8333333333333333, 0.7586206896551724, 0.9310344827586208, 0.9310344827586207, 0.8344827586206897, 0.993103448275862]",2
0.7058823529411765,0.7619047619047619,0.7000000000000001,0.7032055246340959,0.9509031198686372,0.9218801313628899,"[0.9083333333333333, 0.8758620689655173, 0.8413793103448276, 0.9586206896551724, 0.9517241379310344, 0.9172413793103449, 1.0]",3
0.8529411764705882,0.8591836734693877,0.8571428571428571,0.8452380952380952,0.9755336617405582,0.9822660098522168,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.8758620689655172, 1.0]",4
