name,time,ACC,macroF1,UAR,backbone,seed,epochs,tta,elapsed_sec
j01_simplecnn,2026-08-07T09:34:44.470108,0.5581395348837209,0.49387755102040803,0.5578231292517006,simplecnn,42,60,1,14.8
j02_resnet18_s42,2026-08-07T09:35:26.637834,0.9302325581395349,0.9235347985347986,0.9285714285714286,resnet18,42,40,4,34.5
j03_resnet18_s123,2026-08-07T09:36:08.434534,0.9302325581395349,0.9235347985347986,0.9285714285714286,resnet18,123,40,4,33.3
j04_resnet18_s2024,2026-08-07T09:36:51.723451,0.9302325581395349,0.9271062271062271,0.9285714285714287,resnet18,2024,40,4,35.2
j05_resnet34_s42,2026-08-07T09:37:51.301197,0.9767441860465116,0.9760239760239761,0.9761904761904762,resnet34,42,40,4,51.2
ensemble_all,,0.9534883720930233,0.950915750915751,0.9523809523809524,ensemble,-1,-1,-1,0
