accuracy,precision,recall,f1,specificity,auc,per_class_auc,fold
0.9705882352941176,0.9761904761904762,0.9642857142857143,0.9666048237476809,0.9950738916256158,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0
0.9411764705882353,0.9591836734693878,0.9428571428571428,0.9444444444444444,0.9901477832512315,0.9704433497536946,"[1.0, 1.0, 0.993103448275862, 0.9655172413793103, 1.0, 1.0, 0.8344827586206897]",1
1.0,1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",2
0.7058823529411765,0.75,0.7000000000000001,0.6712335283763855,0.9507389162561576,0.9711822660098521,"[0.9500000000000001, 0.9172413793103449, 1.0, 1.0, 0.9586206896551723, 0.9724137931034483, 1.0]",3
0.9705882352941176,0.9761904761904762,0.9714285714285714,0.9711399711399712,0.9950738916256158,0.9960591133004927,"[1.0, 0.9862068965517241, 1.0, 1.0, 1.0, 0.9862068965517242, 1.0]",4
