accuracy,precision,recall,f1,specificity,auc,per_class_auc,fold
0.9705882352941176,0.9761904761904762,0.9642857142857143,0.9666048237476809,0.9950738916256158,0.9976190476190476,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9833333333333334]",0
0.8235294117647058,0.8702380952380953,0.8285714285714285,0.8224029938315651,0.9704433497536947,0.9596059113300494,"[1.0, 1.0, 0.9310344827586208, 0.9724137931034483, 0.9862068965517242, 0.9655172413793104, 0.8620689655172414]",1
0.7941176470588235,0.8714285714285713,0.8,0.795124716553288,0.9656814449917899,0.9798850574712644,"[1.0, 0.9833333333333334, 0.9379310344827586, 1.0, 0.9724137931034482, 0.9655172413793103, 1.0]",2
0.8529411764705882,0.8809523809523808,0.8571428571428571,0.8423830138115852,0.9756978653530377,0.9921182266009853,"[1.0, 0.9586206896551724, 1.0, 1.0, 1.0, 0.9862068965517241, 1.0]",3
0.8235294117647058,0.8769841269841271,0.8214285714285714,0.813543599257885,0.9706075533661741,0.9899425287356323,"[1.0, 0.9793103448275862, 0.9724137931034482, 1.0, 0.9916666666666667, 1.0, 0.9862068965517241]",4
