accuracy,precision,recall,f1,specificity,auc,per_class_auc,fold
0.8529411764705882,0.889795918367347,0.8499999999999999,0.8557823129251699,0.9753694581280788,0.9852216748768473,"[0.9793103448275862, 0.993103448275862, 1.0, 1.0, 0.9862068965517242, 0.9379310344827587, 1.0]",0
0.8529411764705882,0.8547619047619047,0.8499999999999999,0.8497113997113995,0.9755336617405584,0.9830459770114943,"[1.0, 0.9916666666666667, 0.993103448275862, 0.9862068965517242, 0.993103448275862, 0.993103448275862, 0.9241379310344828]",1
1.0,1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",2
0.8529411764705882,0.8571428571428571,0.85,0.8488455988455988,0.9755336617405582,0.9794745484400657,"[0.9666666666666667, 0.9517241379310345, 0.9586206896551724, 1.0, 1.0, 0.9793103448275862, 1.0]",3
0.9705882352941176,0.9714285714285714,0.9714285714285714,0.9682539682539683,0.9952380952380953,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",4
